1597:-1.3385,20.8396,-108.8206,486.8982
1477:-1.1328,18.1156,-93.4969,409.8075
1357:-0.9571,16.1063,-86.7144,371.0156
1237:-0.8719,14.6161,-78.9965,337.4022
1117:-0.8454,14.1172,-76.004,314.0144
997:-0.892,14.9824,-81.0709,320.9387
877:-1.0732,17.7647,-93.9066,341.3837
757:-1.2184,20.4708,-110.4591,376.97
637:-1.4076,23.6536,-127.9124,416.4962
517:-1.5793,26.5301,-143.2551,449.3789
